Unnamed: 0,date,pm10,traffic,wind
366,2020-01-01,60,7830459.809,2
367,2020-01-02,64,9962231.069,18
368,2020-01-03,58,10484246.51,38
369,2020-01-04,56,9620231.488,18
370,2020-01-05,43,8307640.918,14
371,2020-01-06,10,10031668.25,0
372,2020-01-07,28,9822077.172,0
373,2020-01-08,52,10218640.15,42
374,2020-01-09,61,10468905.56,38
375,2020-01-10,56,10646987.9,27
376,2020-01-11,48,9891031.243,25
377,2020-01-12,29,8544047.547,41
378,2020-01-13,33,10325782.72,33
379,2020-01-14,41,10458642.55,26
380,2020-01-15,45,10539022.03,38
381,2020-01-16,59,10631414,31
382,2020-01-17,61,10820598.7,22
383,2020-01-18,59,10109922.28,38
384,2020-01-19,56,8661367.042,31
385,2020-01-20,48,10588682.21,30
386,2020-01-21,51,10796237.13,17
387,2020-01-22,61,10837047.1,0
388,2020-01-23,65,10542910.27,29
389,2020-01-24,52,8171035.751,34
390,2020-01-25,30,8947434.324,20
391,2020-01-26,10,7880582.757,7
392,2020-01-27,12,7409683.786,1
393,2020-01-28,17,9861939.708,5
394,2020-01-29,20,10333152.84,4
395,2020-01-30,29,10472275.28,4
396,2020-01-31,63,10557634.69,21
397,2020-02-01,65,9269568.251,27
398,2020-02-02,30,7602835.184,37
399,2020-02-03,27,9971078.614,38
400,2020-02-04,27,10055054.21,25
401,2020-02-05,44,9593392.859,25
402,2020-02-06,41,9937099.248,21
403,2020-02-07,44,10302346.11,39
404,2020-02-08,40,9348685.647,31
405,2020-02-09,52,7733059.175,38
406,2020-02-10,59,9857034.232,28
407,2020-02-11,51,10158538.45,12
408,2020-02-12,65,9876600.152,5
409,2020-02-13,75,10282207.55,36
410,2020-02-14,64,10630075.74,21
411,2020-02-15,26,9613426.33,12
412,2020-02-16,30,7623288.503,39
413,2020-02-17,26,9304929.62,14
414,2020-02-18,37,10127001.74,40
415,2020-02-19,61,10228758.95,13
416,2020-02-20,62,10317394.56,12
417,2020-02-21,64,10385417.58,11
418,2020-02-22,27,9105954.915,44
419,2020-02-23,40,7381145.51,32
420,2020-02-24,22,9671566.166,9
421,2020-02-25,19,9343863.142,0
422,2020-02-26,15,9761302.266,13
423,2020-02-27,28,9856859.354,9
424,2020-02-28,27,9716419.785,2
425,2020-02-29,49,8449194.209,20
426,2020-03-01,43,6566557.163,22
427,2020-03-02,40,9686166.779,42
428,2020-03-03,44,9749724.382,18
429,2020-03-04,39,9790423.746,44
430,2020-03-05,45,9880413.521,36
431,2020-03-06,59,10160393.29,25
432,2020-03-07,61,8745676.162,14
433,2020-03-08,61,7104190.097,22
434,2020-03-09,41,9796666.796,13
435,2020-03-10,38,9512742.726,39
436,2020-03-11,38,10034675.98,40
437,2020-03-12,35,10069861.94,17
438,2020-03-13,41,10212987.22,30
439,2020-03-14,45,9042977.347,33
440,2020-03-15,27,7136791.819,34
441,2020-03-16,49,9797410.129,25
442,2020-03-17,58,9901536.021,16
443,2020-03-18,58,10062567.5,22
444,2020-03-19,46,9892365.237,29
445,2020-03-20,54,10376575.3,29
446,2020-03-21,39,9037174.036,21
447,2020-03-22,45,7400765.46,36
448,2020-03-23,58,9956102.707,26
449,2020-03-24,53,10073826.4,22
450,2020-03-25,54,10095401.15,17
451,2020-03-26,46,9981266.072,3
452,2020-03-27,37,10266169.83,35
453,2020-03-28,46,9162048.963,25
454,2020-03-29,56,7406717.156,20
455,2020-03-30,53,9921521.152,26
456,2020-03-31,66,10054441.78,26
