Unnamed: 0,일자,pm10
245,2018-09-02,16.0
246,2018-09-03,18.0
247,2018-09-04,31.0
248,2018-09-05,42.0
249,2018-09-06,30.0
250,2018-09-07,28.0
251,2018-09-08,25.0
252,2018-09-09,12.0
253,2018-09-10,13.0
254,2018-09-11,17.0
255,2018-09-12,22.0
256,2018-09-13,21.0
257,2018-09-14,13.0
258,2018-09-15,42.0
259,2018-09-16,33.0
260,2018-09-17,41.0
261,2018-09-18,45.0
262,2018-09-19,17.0
263,2018-09-20,8.0
264,2018-09-21,36.0
265,2018-09-22,34.0
266,2018-09-23,16.0
267,2018-09-24,15.0
268,2018-09-25,8.0
269,2018-09-26,9.0
270,2018-09-27,14.0
271,2018-09-28,16.0
272,2018-09-29,22.0
273,2018-09-30,18.0
274,2018-10-01,28.0
275,2018-10-02,29.0
276,2018-10-03,23.0
277,2018-10-04,11.0
278,2018-10-05,7.0
279,2018-10-06,29.0
280,2018-10-07,24.0
281,2018-10-08,29.0
282,2018-10-09,22.0
283,2018-10-10,19.0
284,2018-10-11,26.0
285,2018-10-12,35.0
286,2018-10-13,40.0
287,2018-10-14,61.0
288,2018-10-15,53.0
289,2018-10-16,40.0
290,2018-10-17,16.0
291,2018-10-18,20.0
292,2018-10-19,43.0
293,2018-10-20,41.0
294,2018-10-21,53.0
295,2018-10-22,52.0
296,2018-10-23,48.0
297,2018-10-24,43.0
298,2018-10-25,40.0
299,2018-10-26,30.0
300,2018-10-27,15.0
301,2018-10-28,18.0
302,2018-10-29,23.0
303,2018-10-30,23.0
304,2018-10-31,38.0
305,2018-11-01,48.0
306,2018-11-02,59.0
307,2018-11-03,48.0
308,2018-11-04,63.0
309,2018-11-05,88.0
310,2018-11-06,64.0
311,2018-11-07,9.0
312,2018-11-08,40.0
313,2018-11-09,71.0
314,2018-11-10,66.0
315,2018-11-11,33.0
316,2018-11-12,45.0
317,2018-11-13,38.0
318,2018-11-14,54.0
319,2018-11-15,60.0
320,2018-11-16,36.0
321,2018-11-17,41.0
322,2018-11-18,60.0
323,2018-11-19,50.0
324,2018-11-20,38.0
325,2018-11-21,24.0
326,2018-11-22,24.0
327,2018-11-23,24.0
328,2018-11-24,47.0
329,2018-11-25,62.0
330,2018-11-26,97.0
331,2018-11-27,100.0
332,2018-11-28,71.0
333,2018-11-29,60.0
334,2018-11-30,51.0
335,2018-12-01,54.0
336,2018-12-02,47.0
337,2018-12-03,37.0
338,2018-12-04,32.0
339,2018-12-05,41.0
340,2018-12-06,26.0
341,2018-12-07,26.0
342,2018-12-08,24.0
343,2018-12-09,36.0
344,2018-12-10,44.0
345,2018-12-11,48.0
346,2018-12-12,42.0
347,2018-12-13,35.0
348,2018-12-14,58.0
349,2018-12-15,56.0
350,2018-12-16,67.0
351,2018-12-17,52.0
352,2018-12-18,56.0
353,2018-12-19,62.0
354,2018-12-20,72.0
355,2018-12-21,78.0
356,2018-12-22,54.0
357,2018-12-23,25.0
358,2018-12-24,39.0
359,2018-12-25,52.0
360,2018-12-26,30.0
361,2018-12-27,40.0
362,2018-12-28,43.0
363,2018-12-29,36.0
364,2018-12-30,
365,2018-12-31,40.0
