Unnamed: 0,date,pm10,traffic,wind
168,2018-06-17,52,10000806.75,27
169,2018-06-18,47,11183953.32,26
170,2018-06-19,52,11544037.96,29
171,2018-06-20,46,11611748.4,42
172,2018-06-21,47,11711039.47,44
173,2018-06-22,44,11772133.64,25
174,2018-06-23,65,11368581.44,27
175,2018-06-24,64,9988418.72,39
176,2018-06-25,54,11471100.56,23
177,2018-06-26,31,11122602.4,14
178,2018-06-27,25,11521741.17,29
179,2018-06-28,44,11598021.83,4
180,2018-06-29,55,11691467.21,31
181,2018-06-30,14,10846456.2,12
182,2018-07-01,9,9339426.627,0
183,2018-07-02,13,10846527.65,0
184,2018-07-03,25,11444137.01,0
185,2018-07-04,22,11576095.69,27
186,2018-07-05,7,11393732.76,10
187,2018-07-06,8,11797012,0
188,2018-07-07,12,11430288.04,0
189,2018-07-08,10,10165240.58,0
190,2018-07-09,24,11006504.33,0
191,2018-07-10,37,11330420.83,0
192,2018-07-11,29,11509220.5,18
193,2018-07-12,24,11622815.07,36
194,2018-07-13,22,11904489.58,34
195,2018-07-14,24,11441083.4,36
196,2018-07-15,29,10179987.18,30
197,2018-07-16,34,11400184.44,38
198,2018-07-17,40,11570730.22,43
199,2018-07-18,33,11660047.32,31
200,2018-07-19,40,11749791.31,35
201,2018-07-20,43,11742424.83,34
202,2018-07-21,33,11314637.93,29
203,2018-07-22,37,9998947.116,28
204,2018-07-23,45,11241965.84,40
205,2018-07-24,37,11488594.43,25
206,2018-07-25,46,11553327.56,28
207,2018-07-26,53,11692972.09,30
208,2018-07-27,44,11748933.97,42
209,2018-07-28,19,11039779.77,18
210,2018-07-29,9,9989393.626,0
211,2018-07-30,19,11320239.94,0
212,2018-07-31,36,11553488.75,8
213,2018-08-01,45,11498488.66,24
214,2018-08-02,51,11426211.77,30
215,2018-08-03,31,11487180.99,25
216,2018-08-04,29,11671533.14,47
217,2018-08-05,35,9704408.928,46
218,2018-08-06,21,10997931.19,32
219,2018-08-07,29,11276164.43,17
220,2018-08-08,29,11401682.99,37
221,2018-08-09,15,11409963.73,34
222,2018-08-10,10,11713160.09,8
223,2018-08-11,15,11274201.52,1
224,2018-08-12,36,9929651.048,0
225,2018-08-13,30,11294164.62,18
226,2018-08-14,32,11650734.55,18
227,2018-08-15,16,10398803.71,1
228,2018-08-16,13,11535019.74,0
229,2018-08-17,18,11665465.27,0
230,2018-08-18,26,11273873.65,6
231,2018-08-19,42,9962233.499,10
232,2018-08-20,26,11251427.54,4
233,2018-08-21,28,11268661.07,25
234,2018-08-22,13,11373348.85,0
235,2018-08-23,8,11074968.62,0
236,2018-08-24,27,10863038.31,26
237,2018-08-25,20,11383087.79,29
238,2018-08-26,9,10106871.9,4
239,2018-08-27,11,10936844.09,0
240,2018-08-28,14,10988534.95,0
241,2018-08-29,31,11047838.35,12
242,2018-08-30,28,11359491.12,20
243,2018-08-31,21,11721745.52,34
244,2018-09-01,14,11293150.66,2
245,2018-09-02,16,10204590.8,0
246,2018-09-03,18,11050755.26,6
247,2018-09-04,31,11487966.55,31
248,2018-09-05,42,11709850.79,40
249,2018-09-06,30,11724151.44,13
250,2018-09-07,28,11916127.22,27
251,2018-09-08,25,11696764.81,18
252,2018-09-09,12,10449544.17,6
253,2018-09-10,13,11620661.17,0
254,2018-09-11,17,11822680.97,0
255,2018-09-12,22,11838343.76,4
256,2018-09-13,21,11928081.49,0
257,2018-09-14,13,11898549.7,0
258,2018-09-15,42,11418219.62,11
259,2018-09-16,33,10584482.53,42
260,2018-09-17,41,11595080,42
261,2018-09-18,45,11922278.66,28
262,2018-09-19,17,11979835.38,8
