Unnamed: 0,date,pm10,traffic,wind
85,2018-03-26,86,11180193,22
86,2018-03-27,61,11483897,22
87,2018-03-28,65,11549835,25
88,2018-03-29,68,11534995,30
89,2018-03-30,63,11772766,14
90,2018-03-31,74,11207796,32
91,2018-04-01,72,9834908,14
92,2018-04-02,69,11114917,22
93,2018-04-03,15,11300650,25
94,2018-04-04,7,11370186,9
95,2018-04-05,91,11037552,0
96,2018-04-06,54,11670143,42
97,2018-04-07,30,11226066,46
98,2018-04-08,46,9690938,19
99,2018-04-09,54,11215870,13
100,2018-04-10,65,11400929,12
101,2018-04-11,52,11512193,39
102,2018-04-12,39,11688389,34
103,2018-04-13,23,11781548,9
104,2018-04-14,69,10857173,14
105,2018-04-15,44,10034040,43
106,2018-04-16,63,11518261,21
107,2018-04-17,71,11571084,27
108,2018-04-18,78,11554571,41
109,2018-04-19,91,11569235,37
110,2018-04-20,70,11762741,18
111,2018-04-21,39,11365608,34
112,2018-04-22,10,9635191,0
113,2018-04-23,9,10590705,0
114,2018-04-24,39,11410370,0
115,2018-04-25,51,11656132,22
116,2018-04-26,61,11758276,38
117,2018-04-27,63,11855768,33
118,2018-04-28,61,11846971,39
119,2018-04-29,80,10208666,30
120,2018-04-30,65,11524059,30
121,2018-05-01,49,10611287,23
122,2018-05-02,32,11003588,18
123,2018-05-03,53,11395208,23
124,2018-05-04,49,11910525,40
125,2018-05-05,15,10984504,23
126,2018-05-06,40,9814677,6
127,2018-05-07,22,10480665,21
128,2018-05-08,25,11564801,0
129,2018-05-09,55,11583579,15
130,2018-05-10,66,11654977,38
131,2018-05-11,34,11830380,27
132,2018-05-12,26,10629994,8
133,2018-05-13,76,10008546,34
134,2018-05-14,78,11313337,31
135,2018-05-15,35,11585959,14
136,2018-05-16,15,10862563,6
137,2018-05-17,11,10867944,6
138,2018-05-18,11,11526067,0
139,2018-05-19,11,11415984,0
140,2018-05-20,21,10303960,0
141,2018-05-21,43,11630327,6
142,2018-05-22,46,10288223,13
143,2018-05-23,89,11518149,33
144,2018-05-24,89,11677233,20
145,2018-05-25,80,11907087,23
146,2018-05-26,68,11406963,21
147,2018-05-27,57,10062039,33
148,2018-05-28,49,11427577,21
149,2018-05-29,52,11562720,18
150,2018-05-30,51,11642530,28
151,2018-05-31,48,11640427,40
152,2018-06-01,48,11857739,39
153,2018-06-02,36,11378513,39
154,2018-06-03,48,9952152,32
155,2018-06-04,51,11370746,34
156,2018-06-05,52,11752000,26
157,2018-06-06,54,10418663,39
158,2018-06-07,41,11524981,44
159,2018-06-08,46,11764204,38
160,2018-06-09,9,11240669,5
161,2018-06-10,11,9883298,0
162,2018-06-11,16,11365532,2
163,2018-06-12,33,11653268,19
164,2018-06-13,35,10567144,17
165,2018-06-14,15,11465719,6
166,2018-06-15,23,11822994,0
167,2018-06-16,57,11379198,16
168,2018-06-17,52,10000806,27
169,2018-06-18,47,11183953,26
170,2018-06-19,52,11544037,29
171,2018-06-20,46,11611748,42
172,2018-06-21,47,11711039,44
173,2018-06-22,44,11772133,25
174,2018-06-23,65,11368581,27
175,2018-06-24,64,9988418,39
176,2018-06-25,54,11471100,23
177,2018-06-26,31,11122602,14
178,2018-06-27,25,11521741,29
179,2018-06-28,44,11598021,4
180,2018-06-29,55,11691467,31
181,2018-06-30,14,10846456,12
182,2018-07-01,9,9339426,0
183,2018-07-02,13,10846527,0
184,2018-07-03,25,11444137,0
185,2018-07-04,22,11576095,27
186,2018-07-05,7,11393732,10
187,2018-07-06,8,11797012,0
