Unnamed: 0,date,pm10,traffic,wind
1,2019-01-01,37,7942740.768,40
2,2019-01-02,40,9973083.485,39
3,2019-01-03,60,10387190.31,36
4,2019-01-04,61,10548362.7,17
5,2019-01-05,52,9888232.96,35
6,2019-01-06,56,8699119.477,27
7,2019-01-07,46,10182944.45,28
8,2019-01-08,53,10418861.27,36
9,2019-01-09,58,10356319.71,21
10,2019-01-10,70,10467823.69,28
11,2019-01-11,81,10617363.31,16
12,2019-01-12,90,9943053.671,26
13,2019-01-13,118,8523613.449,31
14,2019-01-14,104,10003083.92,17
15,2019-01-15,50,10347697.74,40
16,2019-01-16,47,10379391.31,31
17,2019-01-17,54,10427347.9,26
18,2019-01-18,81,10675257.58,33
19,2019-01-19,65,10008587.8,14
20,2019-01-20,47,8795775.188,45
21,2019-01-21,66,10183469.87,22
22,2019-01-22,69,10461373.07,21
23,2019-01-23,47,10512509.56,39
24,2019-01-24,50,10628513.4,34
25,2019-01-25,48,10827264.36,38
26,2019-01-26,41,10165639.72,31
27,2019-01-27,74,8806020.414,24
28,2019-01-28,67,10347283.93,32
29,2019-01-29,62,10654915.17,27
30,2019-01-30,69,10717026.18,26
31,2019-01-31,43,10789126.78,41
32,2019-02-01,57,10748868.7,31
33,2019-02-02,39,9387306.699,3
34,2019-02-03,67,7775197.699,16
35,2019-02-04,73,7602482.756,35
36,2019-02-05,80,9105037.756,11
37,2019-02-06,59,7804367.699,14
38,2019-02-07,35,10024774.07,41
39,2019-02-08,40,10587411.7,29
40,2019-02-09,46,9837568.873,32
41,2019-02-10,44,8448658.756,28
42,2019-02-11,59,10489371.95,39
43,2019-02-12,42,10661767.59,33
44,2019-02-13,55,10681660.98,39
45,2019-02-14,42,10800224.68,16
46,2019-02-15,59,10023887.77,41
47,2019-02-16,40,9915635.479,30
48,2019-02-17,46,8780636.537,43
49,2019-02-18,47,10299679.66,30
50,2019-02-19,55,9396770.165,23
51,2019-02-20,72,10375122.05,43
52,2019-02-21,70,10507225.43,31
53,2019-02-22,57,10724496.89,23
54,2019-02-23,64,10202787.89,10
55,2019-02-24,76,9000024.235,24
56,2019-02-25,58,10376027.94,41
57,2019-02-26,68,10451894.96,37
58,2019-02-27,76,10511754.88,22
59,2019-02-28,93,10686239.25,36
60,2019-03-01,91,9393368.068,34
61,2019-03-02,86,9366432.62,18
62,2019-03-03,122,8507155.682,18
63,2019-03-04,136,10065477.48,12
64,2019-03-05,106,10170361.82,24
65,2019-03-06,55,10321752.53,38
66,2019-03-07,53,10615958.82,33
67,2019-03-08,48,10849528.18,33
68,2019-03-09,51,10299867.16,19
69,2019-03-10,69,8805576.479,3
70,2019-03-11,74,10414991.07,22
71,2019-03-12,46,10535099.57,40
72,2019-03-13,47,10612124.78,42
73,2019-03-14,54,10662613.45,28
74,2019-03-15,46,10637057.09,20
75,2019-03-16,44,10112856.69,25
76,2019-03-17,46,8905754.902,39
77,2019-03-18,63,10361431.19,25
78,2019-03-19,83,10511416.52,12
79,2019-03-20,37,10414055.13,2
80,2019-03-21,41,10591471.98,32
81,2019-03-22,27,10946246.2,33
82,2019-03-23,31,10230965.71,32
83,2019-03-24,50,9032630.073,35
84,2019-03-25,63,10416091.02,12
85,2019-03-26,80,10594824.66,37
86,2019-03-27,75,10465776.78,25
87,2019-03-28,45,10667381.23,41
88,2019-03-29,41,10756053.94,20
89,2019-03-30,44,10162438.84,33
90,2019-03-31,30,8965572.59,46
91,2019-04-01,35,10484358.77,42
92,2019-04-02,44,10639953.42,37
93,2019-04-03,39,10677844.34,32
94,2019-04-04,72,10821327.6,26
95,2019-04-05,63,10916114.71,33
96,2019-04-06,43,10241721.48,11
97,2019-04-07,44,9225423.55,21
98,2019-04-08,29,10633161.11,37
99,2019-04-09,8,10721103.31,1
100,2019-04-10,30,10668047.13,16
101,2019-04-11,57,10930265.44,29
102,2019-04-12,53,11150125.35,44
103,2019-04-13,43,10686859.88,26
104,2019-04-14,57,8926732.783,35
105,2019-04-15,51,10792087.17,30
106,2019-04-16,45,10933281.59,23
107,2019-04-17,45,10950631.37,23
108,2019-04-18,47,10877889.61,27
109,2019-04-19,49,11112663.73,4
110,2019-04-20,37,10518494.18,18
111,2019-04-21,85,9223984.601,33
112,2019-04-22,87,10712564.8,19
113,2019-04-23,62,10818577.29,25
114,2019-04-24,42,10743524.21,26
115,2019-04-25,10,10661084.2,2
116,2019-04-26,20,10862492.65,4
117,2019-04-27,21,10584823.02,27
118,2019-04-28,22,9290230.285,24
119,2019-04-29,41,10653297.11,5
120,2019-04-30,59,10953464.9,19
121,2019-05-01,55,9704027.886,36
122,2019-05-02,56,10739745.03,39
123,2019-05-03,74,11011833.49,25
124,2019-05-04,70,10360717.25,34
125,2019-05-05,39,9195054.407,29
126,2019-05-06,55,9429395.46,28
127,2019-05-07,57,10658152.18,26
128,2019-05-08,53,10832364.05,27
129,2019-05-09,66,10733730.99,35
130,2019-05-10,69,11004449.76,33
131,2019-05-11,61,10469939.59,39
132,2019-05-12,63,9203865.29,22
133,2019-05-13,46,10537003.82,27
134,2019-05-14,70,10750650.83,22
135,2019-05-15,69,10745286.69,29
136,2019-05-16,62,10837986.63,27
137,2019-05-17,34,10939225.55,16
138,2019-05-18,16,10402618.73,2
139,2019-05-19,41,8732382.028,0
140,2019-05-20,60,10459119.88,36
141,2019-05-21,63,10716108.62,28
142,2019-05-22,74,10699011.79,25
143,2019-05-23,79,10857493.78,33
144,2019-05-24,76,11048920.46,24
