일자,Unnamed: 0,교통량합계
2018-01,496,334596332.96288085
2018-02,1274,300156296.8460708
2018-03,2325,343436405.25556
2018-04,3165,335563156.32814103
2018-05,4216,346111834.2931715
2018-06,4995,336828939.23860717
2018-07,6107,348052440.3942864
2018-08,7068,344946731.6378675
2018-09,7755,336354654.2728016
2018-10,8959,357699748.1488772
2018-11,9585,346933671.88164765
2018-12,10850,346470664.3708439
