일자,Unnamed: 0,교통량
2019-01,496,312678993.14799047
2019-02,1274,275206883.04801905
2019-03,2325,314392332.26050836
2019-04,3165,316412129.56913257
2019-05,4216,323147122.9755495
2019-06,4995,308321466.53086793
2019-07,6107,318493603.39579463
2019-08,7068,320436151.13460636
2019-09,7755,305026128.83341306
2019-10,8959,323287376.1807645
2019-11,9585,314465515.71446776
2019-12,10850,315862822.42023385
