일자,Unnamed: 0,pm10
2018-01,496,1619.0
2018-02,1274,1549.0
2018-03,2325,1637.0
2018-04,3165,1581.0
2018-05,4216,1396.0
2018-06,4995,1215.0
2018-07,6107,863.0
2018-08,7068,759.0
2018-09,7755,676.0
2018-10,8959,979.0
2018-11,9585,1571.0
2018-12,10850,1352.0
